arm,n,layer,prefix_rows,row_degree_min,rows_below_degree_2,row_degree_hist,variable_degree_min,variable_degree_max,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,m_cycle_rank,girth,girth_reason,row_degree_max,row_degree_sumsq,frozen_eligible,i1_pass,new_eligible,determinism_replay,build_wall_s
M2_ACCUMULATOR_FOREST_HALF,128,L1,128,2,0,"{""2"": 48, ""3"": 80}",2,3,125,0,0,1,1.0,0,2,0,0,4,,3,912,False,True,False,True,0.01
M2_ACCUMULATOR_FOREST_HALF,128,L2,86,3,0,"{""3"": 74, ""4"": 12}",2,3,86,0,0,1,1.0,0,0,0,0,4,,4,858,True,True,True,True,0.01
M2_ACCUMULATOR_FOREST_HALF,128,L2,104,2,0,"{""2"": 18, ""3"": 74, ""4"": 12}",2,3,101,0,0,1,1.0,0,0,0,0,4,,4,930,False,True,False,True,0.01
M2_ACCUMULATOR_FOREST_HALF,128,L2,128,1,12,"{""1"": 12, ""2"": 30, ""3"": 74, ""4"": 12}",2,3,123,0,0,1,1.0,0,0,0,0,4,,4,990,False,False,False,True,0.01
M2_ACCUMULATOR_FOREST_HALF,256,L1,196,2,0,"{""2"": 37, ""3"": 159}",2,3,191,0,0,7,0.58203125,0,4,0,0,4,,3,1579,False,True,False,True,0.02
M2_ACCUMULATOR_FOREST_HALF,256,L1,236,2,0,"{""2"": 77, ""3"": 159}",2,3,231,0,0,4,0.94140625,0,4,0,0,4,,3,1739,False,True,False,True,0.02
M2_ACCUMULATOR_FOREST_HALF,256,L1,256,2,0,"{""2"": 97, ""3"": 159}",2,3,248,0,0,1,1.0,0,4,0,0,4,,3,1819,False,True,False,True,0.02
M2_ACCUMULATOR_FOREST_HALF,256,L2,172,3,0,"{""3"": 148, ""4"": 24}",2,3,172,0,0,1,1.0,0,0,0,0,4,,4,1716,True,True,True,True,0.02
M2_ACCUMULATOR_FOREST_HALF,256,L2,208,2,0,"{""2"": 36, ""3"": 148, ""4"": 24}",2,3,200,0,0,1,1.0,0,0,0,0,4,,4,1860,False,True,False,True,0.02
M2_ACCUMULATOR_FOREST_HALF,256,L2,256,1,25,"{""1"": 25, ""2"": 59, ""3"": 148, ""4"": 24}",2,3,244,0,0,1,1.0,0,0,0,0,4,,4,1977,False,False,False,True,0.02
T2_CYCLE_GREEDY_DV3,128,L1,98,3,0,"{""3"": 79, ""4"": 19}",2,3,98,0,0,1,1.0,0,0,0,,6,,4,1015,True,True,True,True,0.0
T2_CYCLE_GREEDY_DV3,128,L1,118,2,0,"{""2"": 9, ""3"": 90, ""4"": 19}",2,3,118,0,0,1,1.0,0,0,0,,6,,4,1150,True,True,True,True,0.0
T2_CYCLE_GREEDY_DV3,128,L1,128,2,0,"{""2"": 19, ""3"": 90, ""4"": 19}",3,3,123,0,0,1,1.0,0,0,0,,6,,4,1190,False,True,False,True,0.0
